Food_Product,Water_People
Wheat gluten,482.642244
Oats,472.339536
Potatoes,75.817364
Beans,1334.861116
Chickpeas,1103.446444
Lentils,1551.746328
Almonds,4251.84834
Walnuts,2451.51616
Soy milk,994.079236
Asparagus,567.9698
Spinach,77.138224
Tomatoes,56.532808
Pumpkins,88.761792
Bananas,208.69588
Oranges,147.93632
Apples,217.149384
Cherries,423.731888
Peaches,240.39652
Strawberries,91.667684
Blueberries,223.22534
Watermelons,62.08042
Figs,884.9762
Mangoes,475.5096
Avocados,523.324732
Dates,601.519644
Chocolate,4542.701712
Beef,4072.21138
Sheep meat,2314.939236
Pig meat,1581.861936
Chicken meat,1142.5439
Egg,862.52158
Milk,269.45544
Butter,1466.947116
