Food_Product,Water_Percentage,Water_Footprint
Wheat gluten,1.425317127,241.321122
Oats,1.394891638,236.169768
Potatoes,0.2239003916,37.908682
Beans,3.942051146,667.430558
Chickpeas,3.25864786,551.723222
Lentils,4.582546691,775.873164
Almonds,12.55636517,2125.92417
Walnuts,7.239706043,1225.75808
Soy milk,2.935669595,497.039618
Asparagus,1.677302585,283.9849
Spinach,0.2278010953,38.569112
Tomatoes,0.1669501178,28.266404
Pumpkins,0.2621272878,44.380896
Bananas,0.6163111825,104.34794
Oranges,0.4368788129,73.96816
Apples,0.6412756861,108.574692
Cherries,1.251345743,211.865944
Peaches,0.709928071,120.19826
Strawberries,0.2707088359,45.833842
Blueberries,0.6592189231,111.61267
Watermelons,0.1833330733,31.04021
Figs,2.61347147,442.4881
Mangoes,1.404253327,237.7548
Avocados,1.545458801,261.662366
Dates,1.776380459,300.759822
Chocolate,13.41530012,2271.350856
Beef,12.02586947,2036.10569
Sheep meat,6.836373282,1157.469618
Pig meat,4.671482735,790.930968
Chicken meat,3.374108689,571.27195
Egg,2.547159508,431.26079
Milk,0.7957435521,134.72772
Butter,4.332121515,733.473558
